,en_text,fa_text,bart_translation
0,how about a librarian? they're cool.,???? ?????? ??????? ???? ???? ????,?? ??????? ????? ???? ??? ?????
1,"i'm sorry miss kamen, but i can't do that.",???? ???? ?????? ??? ?????,"??????? ???? ?????? ??? ??????? ??? ???? ????"
2,cloud microphysics. - guys.,?????????? ??? - ?????? -,???? ???????????
3,they're skating. - and someone complained?,- ???? ????? ???? ????? - ? ??? ????? ?????,????? ????? ?? ???? ? ?? ??? ????? ?????
4,can you tell me what's going on?,???? ??? ??? ?? ?????,?? ???? ??? ????? ????
5,just keep the baby instead?,??? ?? ?? ??? ??? ?????,??? ??? ?? ??? ????????
6,let's get our data.,???? ?????????? ?? ??? ????,?????? ???? ?????? ?? ??? ????
7,"it's been fun though, right?",??? ??? ????. ???,"?? ??? ???? ???? ????? ??????"
8,grapefruit!,! ???????????,???? ????
9,of course.,????,?????
10,"well, they use the earth portal.","??? ?? ?????? (= ??????) ????? ??????? ?????","???? ?? ?????? ???? ??????? ?? ????"
11,"dad, i don't wanna go.","????? ??????? ???","???? ?? ??? ????? ???"
12,and we look stupid.,? ?? ??? ??????? ???? ???????,? ?? ??? ??????? ?? ????
13,your purposes. your meanings of life. so basic.,"??? ??? ???? ??????? ???? ????","??? ???? ????? ????? ???? ???? ??????? ???"
14,"kate, this is... this is marshall riggs.","???? ????? …????? ?????? ???? ????","???? ???... ??? ?????? ???? ???"
15,whoa! hey!,"???? ??","???? ???"
16,where? - fox crest condo complex. it's really good money.,???? - «?????» ???? ?????? ?????- ????? ??? ???? ????,??? ??? ????? ?????
17,"keep going! all right, you got her?","! ???? - ???????? ??????? -","????? ???? ?????? ?? ?? ?? ??????"
18,this is a piece of chandelier. this is a crystal.,. ??? ?? ???? ?? ?????? ??? ?? ????????,"??? ?? ??? ???? ???? ?? ???????"
19,do you have anything that can help us?,???? ???? ?? ?? ??????? ?????,???? ???? ?? ?????? ?? ?? ??? ????
20,maybe you will find their spark,???? ??? ?????? ???? ??? ?? ???? ????,???? ???? ?? ?? ?? ???? ???
21,whoa!,! ???,???
22,"oh, yeah, thanks. thanks, man.","???? ???? ????? ????? ???","???? ???? ?????? ????? ???"
23,jovan talked some guy into buying the moon for him.,???? ??? ?? ???? ??? ???? ??? ????,????? ?? ??? ??? ?? ??? ?? ????? ????
24,kate!,! ???,???
25,we made it! this is going to work.,?? ???????? ????? ???? ?????,"?? ??? ??? ?? ?????? ??? ?????? ??? ???"
26,"that belong in the back of the mind,",??? ?? ????,"?? ?? ??? ??? ??????"
27,"oh, jesus.",?? ???,"???? ???? ??"
28,"come on, come on! you got to go! it's here!","! ????????? ????????! ???? ????! ?????? ????","????? ????? ?? ???? ????? ??? ????"
29,you are not all that.,????? ?? ??? ?????,?? ??? ????? ?????
30,"well, maybe,",??? ????,"??? ?????"
31,"riley, what are you talking about?","?????? ?? ?? ??? ???????","????? ?????? ?? ??? ?? ????"
32,"well, actually, that does sound kinda nice.",????? ?????? ?????,"??? ?? ????? ??? ??? ?? ??? ?? ???"
33,"i'm sorry. what was that, officer?",?????? ?? ???? ???? ?????,"??????? ??? ?? ???? ?????"
34,we show them we're a fire hawk who will do whatever it takes.,????? ???? ?????? ?? ????? ?????? ????? ?? ?????? ???? ???? ???????,????? ???? ????? ?? ?? ??????? ??? ????? ?? ?? ???? ?? ????? ????? ???
35,"turns out, there's more to this story than i thought.","????? ?????? ?? ??? ???? ?? ??? ???????? ??????????",????? ?? ?? ??? ?????? ??? ?? ???? ???? ?? ??? ?? ????
36,"well, didn't throw you off the scent.","??? ?? ?? ????? ????? ??","???? ?? ?? ?? ?? ????? ????"
37,hi. - he's okay.,????- ????-,"????? ???? ????"
38,maybe i will. - wonderful.,???? ???? - ????? -,???? ??????
39,what? -she knows better than that.,??? - ??? ??????? ?? ??? ???????? -,??? ?? ???? ?? ??? ?? ????
40,"and you lean on me, 'cause i'm gonna take you.",",? ??? ???? ??. ????? ??????","? ?? ??? ?? ?? ????? ??? ?? ?? ?? ?? ???"
41,"you know, life and all.","???????? ??????? ????? ? ??????","?? ????? ????? ? ??? ???"
42,this is the moment where i fell in love with jazz.,??? ??????? ??? ?? ?? ???? ?????? ??? ???,??? ???? ?? ??? ?? ???? ??? ???
43,remember leigh had all these plans about getting married under the arbor?,???? ???? ?? ??? ??? ???? ???? ?????? ??? ??? ??????? ???,??????? ?? ???? ??? ???? ?? ?? ?????? ?????? ??? ???? ???? ??????
44,yep. i'm aware.,"???? ??? ????","???? ??????"
45,subtitles by explosiveskull,: ????? ?? Overhaul,????? ??? ??? ???? Explosiveskull
46,no way! i am not moving!,! ?????! ?? ?? ????? ???? ????????,"????? ?????? ?? ???? ??? ???"
47,run!,! ???? ??,???? ??
48,guys...,…??????,??? ??...
49,anchors away!,! ??????? ????,???? ????
50,"remember, we agreed not to make a big deal about this.","?????? ????? ???? ??? ????? ?????? ?????","???? ????? ?? ?????? ????? ?? ?? ??? ???? ???? ???? ?????"
51,"i have, like, 400 from helping my dad around here.",?? ???? ??? ?? ???? ??? ???? ?? ???? ????,?? ???? ??? ???? ?? ??? ???? ?? ???? ?? ??? ????? ?????
52,"uh, look, my mom has her own definition of what success is,","??? ????? ?????? ????? ????? ?? ?????? ????","???? ???? ??? ????? ????? ???? ?? ???? ?????? ?????"
53,truth or dare?,????? ?? ??????,????? ?? ?????
54,how do you know? - how do i know about anything?,?? ??? ??????? ??????? ?? ???? ???? ?? ??????,?? ????? ??????? ?? ????? ?? ???? ???? ???????
55,most people.,???? ????,????? ????
56,and for what?,???? ???? ???,? ???? ???
57,let's cut these guys off.,????? ????? ?? ????,?????? ??? ??? ?? ?? ?? ??? ?????
58,"wow. nice work. - well, who is it?",????? ???? ??? ??? - ???? ?? ???? -,"???? ?????? ???? ??? ????"
59,do you find that to be true?,?? ???? ?????????,??? ?? ???? ??? ???? ????
60,"listen. - okay,",??? ??- ????-,"??? ??? ?????"
61,what is she doing?,???? ?? ??? ???????,??? ???? ??????
62,what the fuck is wrong with her?,?? ??????,?? ????? ?? ?? ???? ?????
63,"we're there! -thank you,",???? ????? - ????? -,"?? ????? ?????? ??????"
64,and i'll spare the life of the baby.,? ?? ??? ??? ???????,? ?? ??? ??? ??? ?? ?? ??? ?? ???
65,you know what that's gonna say? joe gardner!,?????? ?????? ?? ????! ?? ??????,?????? ??? ?? ?????? ???? ?? ??????
66,hey.,??,??
67,todd's gonna stay with me until he finds a place.,??? «?? ?? ??????». ?? ?????? ?? ?? ???? ???,??? ?? ????? ?? ???? ???? ??? ?? ?? ????? ???
68,"go, go, go, go, go!","! ???? ???? ???? ???? ???",??? ??? ??? ???
69,i'm mixing.,???? ????? ??????,???? ???? ?? ???
70,"and maybe you can listen to it and tell me to quit after, okay?","? ???? ?????? ??? ???? ? ???? ??? ???? ?????? ???? ?????","? ???? ?????? ?? ??? ??? ??? ???? ? ??? ?? ?? ?? ?? ??? ?? ?????? ???? ?????"
71,"whose mothers smoked weed during utero,",? ????????? ?? ??? ????? ????? ????? ??? ???????,"?? ?????? ?? ?? ?? ????? ?????? ?? ?? ??????"
72,even better than the cows.,??? ???? ?? ?????,??? ?? ????? ???? ???
73,"[ stammers ] what does this remind me of, mel?",??? ??? ??? ??? ?? «????????»,"??? ??? ?? ??? ?? ???? ?? ??????? ???"
74,over my dead flaming body!,??? ?? ??? ??????? ?? ??,"????? ??? ????? ? ???"
75,look! there i am.,! ???? ?? ??????,"???? ??? ?? ??????"
76,so we gotta chop chop.,?? ???? ??????,?? ???? ??? ??? ????
77,"this bitch keeps fucking around,",??? ??? ????? ?????????? ?? ????? ???,??? ???? ???? ??? ? ?? ?? ????
78,mm-hmm.,?????,?? ??
79,"i mean, you'd have to",…????,?????? ??? ??? ?? ????
80,"tornado wranglers. - tornado wranglers, baby.","???????????? ??????? ????? -! ????????? ????? -",?????? ????? ??
81,"riley, i'm open. pass it, pass it!",". ?????? ?? ??????? ??? ???? ??? ???","????? ????? ????? ?????"
82,leave her alone.,??? ????,?? ?? ???? ???????
83,now it's your turn to help us.,???? ???? ????? ?? ??????? ????,???? ???? ????? ?? ?? ?? ??? ????
84,"forget 'em! -no, no, no, i can find her.","??????????? - ??? ??????? ????? ??? -","?? ?? ?? ?????? ??? ??? ??? ??? ?? ?? ????? ?? ?? ???? ???"
85,"no, no, no, no.",". ??,??,??,??","??? ??? ??? ??"
86,we can't let her do this to riley.,????? ?????? ????? ????? ?? ????? ?????,??? ????? ?????? ???? ??? ???? ????
87,"we lost your radar, javi. you got eyes on the tornado?",????? ?? ?? ?? ??? ????? ???? ?????? ?? ????????,"?? ?????? ?? ?? ??? ?????? ????? ?? ??? ?? ?? ??????? ?????"
88,you get what it takes to be the best.,?? ??????? ??????? ?? ????,?? ????? ?????? ????
89,and she's nice to stray cats.,???? ?? ???????? ????? ?? ????? ???? ????,? ???? ?? ?? ????? ?? ???
90,"i long to be a hero,",?? ????? ?????? ???? ?? ????,"?? ???? ??? ?? ????? ?????? ?????"
91,"yeah, feels like it's a little sticky. - oh, no.","???? ?????? ???? ?????? - ??? ?? -","???? ?? ?? ??? ?? ?? ???????"
92,look at that. look at tintin.,???? ???? ?????? ?? ????,"?? ??? ???? ??? ?? ????? ???? ??"
93,"uh, mrs. rosenberg had a family vacation on the books",???? ??????? ????? ???? ??,"??? ???? ??????? ?? ??????? ???????? ?? ???? ????"
94,what? you're paranoid.,??? ???? ??? ????,??? ?? ???????? ????
95,he told me about all those late night meetings,?? ???? ??? ??? ????? ?????,?? ?? ???? ??? ??? ?????? ??? ??? ?? ?? ?? ???
96,"you need a ride to work, you got to get going now.",??? ?????? ?? ????? ??????? ?? ?? ??? ???? ???? ???? ???? ??,"???? ???? ???? ?? ???? ???? ???? ?? ???"
97,"come on, buddy.",??? ????,???? ????
98,you need this to happen,?? ???? ?? ?? ?? ???????,???? ??? ??? ????? ?????
99,then we'll divide into teams.,???? ???????? ???????,??? ?? ???? ?? ????? ?????
100,"ever since you got struck by lightning, you're no fun.",?? ???? ??? ? ??? ??? ????? ???? ??? ??? ?????,"?? ???? ?? ?? ???? ????? ?????? ????? ???? ??? ???? ?????"
101,i've been wondering what you want me to do with all this stuff.,?????????? ??????? ?? ???? ?? ??? ???,?? ??? ?? ???? ?? ?? ??? ??? ????? ???? ???????
102,sully! sully! - sully!,"????? ????","????? ????? ????"
103,damn. dandelion girl was right.,???? ??? ???? ?????? ???? ??????,"?????? ???? ??????? ???? ???? ???"
104,and practice like we've never practiced before.,? ?? ???? ???????? ????? ????,? ????? ???? ??? ??? ?? ??? ?? ???? ????? ????? ???
105,everything is beautiful!,??????? ?????,??? ??? ??????
106,then you must make your curse your gift.,?? ???? ?????? ?? ????? ?? ?????? ???,?? ???? ????? ?? ?? ???? ???? ???
107,that's not good.,??? ??? ????,??? ??? ????
108,let's get these memories downstairs.,????? ??? ?????? ?? ??????? ???? ?????,?????? ??? ?????? ?? ?? ??? ?? ????? ?????
109,"so dad could pursue his dreams, and i can't?",?? ???? ?????? ??? ????? ???????? ??? ?? ????????,"?? ??? ?? ????? ?? ????? ??????? ????? ??? ?? ??? ??????"
110,excuse us. -hey! you can't use that.,"?? ??? ???? - ??? ?? ??????? ??? ?? ?????? -","????? ?? ?????? ??? ?? ??? ????? ?? ?? ??????? ???"
111,but now we have a way to fight back.,??? ???? ?? ???? ???? ?????? ????? ?????,??? ???? ???? ???? ?????? ?? ??? ?????
112,"i'm, look, i'm so.",…??,"?? ????? ????? ?? ???? ??? ????"
113,you can't say that.,??????? ??? ?? ???,??? ???? ???? ???
114,i'm taking the baby.,??? ?? ??????,???? ??? ?? ?? ???
115,it's got to be absolutely perfect.,???? ???? ???? ????,???? ????? ???? ????
116,in theory.,?? ???? ?????,?? ??? ?????
117,"come on, it's okay.",???? ???? ????,"????????? ????? ????"
118,i got my hands on a few prototypes.,?? ????? ????? ???????? ?? ??? ?????,?? ??? ?? ?? ????? ??? ????? ?? ?????
119,you care too much about things.,???? ????? ????????,?? ?? ????? ??? ?? ?????? ????? ?? ????
120,it's okay.,???? ????,???? ????
121,"okay, so, so let's make the next one","???? ??? ??? ???? ??","??? ??? ?? ?????? ???? ?? ???? ????"
122,i think so.,. ?? ???,???? ?? ??? ?? ??? ??? ???
123,i'm going to live every minute of it.,????? ?? ????? ???? ??? ??????? ???,?? ?? ????? ?? ????? ?? ?? ?? ???????
124,you want one?,??????? ?????? ????,??? ???????
125,can i please just pay the ticket and go home?,????? ???? ????? ??? ? ??? ?????,???? ?????? ???? ? ????? ?????
126,the count's off.,! ??????? ???? ????,???? ??? off ???
127,this is more than i remember sending back here.,???? ????? ??? ??? ????? ??????? ????? ?????,??? ???? ????? ?? ????? ??? ?? ???? ??? ?? ????? ?????????
128,"all righty, mentors.",???? ?? ???????,"??? ??? ?????? ??????"
129,we've never connected an untethered soul back to its body before.,?? ?????? ?? ??? ???? ?? ?? ???? ???????????,?? ???? ??? ?? ?? ?? ??? ?? ??? ? ????? ?? ???? ??? ???? ???
130,"guys, let's go, go, go!","! ??????? ????? ????? ????","??? ??? ???? ???? ???? ????"
131,that are right there to the printer? no.,??? ????? ??????? ???? ??? ????? ??,????? ???? ???? ????? ?????? ??
132,what pills?,???? ???????,?? ??? ?????
133,"because, mon ami, we need to speed things up,","???? ?????? ??? ???? ???? ????","???? ???? ??? ?? ???? ??? ?? ?????? ?????"
134,whoa!,! ???,???
135,i'm sure you're very talented in a lot of different ways.,?????? ?? ?? ?? ???? ????? ?? ????????,?? ?????? ?? ?? ?? ?????? ?? ????? ?? ????? ???????? ????
136,"a one-way expressway to,",????? ??? ??? ??????,?? ??????? ?? ????
137,"okay, uniforms.","???????? ???????","????? ???? ???? ???"
138,exactly what you'd expect.,????? ???? ???? ?? ?????? ??????,????? ???? ??? ?? ?????? ?? ?????
139,that's a sar-chasm.,???? ???? ?? ????????,??? ?? ??????
140,remember when we all finally came up to headquarters?,??? ???? ?? ??????? ?? ???? ????? ????? ???? ?????????,??????? ???? ??????? ?? ???? ????? ?????? ????????
141,we got to get him down. okay.,. ?? ???? ??????? ????? -. ???? -,"???? ?? ?? ????? ???????? ????"
142,they have a nice wine list.,???????? ???? ????,????? ?? ????? ??? ?? ???? ?????
143,you too.,??? ?? ????????,?? ?? ???? ???
144,i don't know.,. ???????,??? ????
145,it's okay. it's okay. i'll do it.,. ???? ?????. ????? ????. ?? ?????? ????,"????? ????? ????? ????? ?? ??? ??? ?? ?? ???"
146,mom doesn't know about this gig.,????? ????????? ???? ???? ???????,????? ?? ???? ??? ??? ??? ????
147,that one goes there. check.,. ??? ?? ????? ????? ????? ??,"??? ??? ?? ?? ?????? ?????"
148,"come on, kate. all right, you got it.","?????? ??? ???????? ???? ??","????? ???? ???? ??? ????? ???"
149,"sorry, but joe can't do it today.","??????? ??? ?? ????? ??????","??????? ??? ?? ????? ??? ????? ??? ??? ?? ????"
150,"um, leigh was actually valedictorian.","??? ?? ???? «??» ????? ????? ???","??? ?? ?? ???? ?? ??????? ???"
151,what are we saying?,?? ????? ???????,?? ??????? ?????
152,ah! spicy! spicy!,! ????! ????,"??? ??? ???"
153,"it's giving me incredible high-resolution images,",?????? ???? ? ?? ??????? ???? ?? ??????? ???????,"??? ????? ?? ?? ?????? ?????????? ?? ???? ???? ?? ????"
154,i bet anxiety would have a really good plan...,??? ??????? ??? «??????» ????? ??? ???? ??? ??????????? ??????,??? ?? ???? ?? ?????? ?? ???? ??? ????...
155,"plus, we followed our new","????? ?????? ?????? ??? ??? ??","????? ?? ???? ?? ?? ??? ??????? ????? ?????"
156,"joy, the only way out is up.","????? ???? ??? ???? ?? ??? ??????","???? ???? ??? ???? ???? ???"
157,that's a really judgmental question. [ mel ] yeah.,????? ?????? ??? ??????? ???- ???-,??? ????? ?? ???? ?????? ???
158,"she's doing her thing, man.",???? ???? ?? ?????? ???,"??? ??? ????? ?? ???? ????"
159,"okay, good.",???? ????,"??? ????"
160,black improvisational music.,??????????? ??????,?????? ????? ????
161,i said turn around.,???? ????,?? ???? ?????
162,and it feels like you're in another place?,????? ??????? ??? ??????? ??????,? ????? ?? ??? ??? ???? ?? ?????
163,it was horrible.,????? ???,???? ??????? ???
164,i'm just supposed to make sure you don't die.,?? ??? ????? ????? ?? ?? ?? ????????,?? ??? ???? ????? ???? ?? ?? ??? ????
165,are you okay?,???? ?????,???? ?????
166,scarecrow is up.,????? ???? ??,????? ??? ???? ???
167,so what do you think you'll do?,??? ?????? ????? ???????,?? ??? ?? ???? ???? ?? ?????
168,"and then i tell anxiety, ""hey, don't worry so much anymore.""",???? ?? ?????? ????? «???????? ??????? ????? ????»,"? ??? ?? ?????? ?? ????? « ??? ???? ????? ????»"
169,so send them out with just a little bit...,…?? ?????? ???????,?? ??? ?? ?????...
170,i think i'm speaking for all the jerrys when i say thank you.,?? ?? ??? ??? ???????? ????? ?? ????? ???? ???,??? ?? ??? ???? ????? ???? ?? ??? ?? ???? ??? ??? ?? ??? ?? ???
171,let's go!,! ??? ????,???? ????
172,i don't know.,. ???????,??? ????
173,"um, this is one of the happier pieces.","???? ??? ?? ???? ??? ??? ?",??? ??? ?? ????? ????? ???
174,we're going!,???? ?????,????? ?????
175,that she doesn't force me to do.,???? ?? ??? ??? ???????,?? ?? ??? ????? ?? ??? ??? ??? ???
176,who? you mean the guy from the bar?,??? ????? ??? ?????,??? ?????? ??? ??? ?? ?????
177,"back up, back up, back up!","! ??? ???? ??? ???? ??? ???","?????? ?????? ?????"
178,you can bite.,?? ?????? ??? ????,?? ???? ??? ?????
179,because you have no purpose!,??? ??? ???? ?????,??? ??? ??? ???? ??????
180,"[ sobs ] wait. no, he-- no, he--","…??????. ??,??? …??,???","??? ??? ??? ???... ??? ???..."
181,how?,?????,?????
182,patrol finds you passed out behind the wheel of your own car,??? ?? ?? ????? ????? ??? ?????? ??????,?????? ????? ?? ??? ?? ??? ??? ????? ????? ?????? ???? ???
183,joe! who's ready to go home?,! ?? ?? ???? ???? ?? ???? ????? ??,"??? ?? ??? ???? ??? ?? ???? ?????"
184,both hands. both hands.,?? ??? ?? ???,"?? ?? ???? ?? ?? ???"
185,terry's got this under control. i'll handle it.,??? ????? ??? ????? ??????,"??? ??? ?? ????? ?? ???? ?? ??? ??? ?? ????? ?? ???"
186,"with a nice pass over to reeves,",?? ??? ????? ????? ??????,"?? ????? ???? ?? ??? ????"
187,you ready?,?????????,???????
188,yes!,????,???
189,glad to see boy band island finally broke up.,???????? ?? ????? ??? ????????? ??? ?? ?? ?????,??????? ????? ??? ???? ?????? ??????? ?? ?? ??? ???
190,she's having a great time.,???? ???? ??? ??? ???????,?? ??? ???? ?? ????
191,i feel terrible.,?? ???? ??? ????,????? ???? ?? ???
192,"look, i was-- i was-- we were talking. i'm sorry.","…????,?? …??. ?? ?????? ???? ????????. ?? ??????","????? ?? ????? ?? ????? ?? ?????? ??? ?? ????? ??????"
193,"that would be april 20th, 1987.",???? ????? ????,?? ????? ???? ???
194,"listen to me, okay?","?? ?? ??? ??,?????","?? ???? ??? ??? ?????"
195,"i know you, sadness.",?? ????????? ??,"?? ?? ?? ?? ?????? ??????"
196,we had to motivate her properly.,???? ??? ??? ?????? ????????,???? ?????? ???? ?? ?? ?????
197,"please, just do it quickly and quietly.",?????? ???? ? ?????? ?????? ???,"????? ??? ???? ? ???? ?????? ???"
198,hmm.,???,??
199,how are you driving?,???? ???? ????? ??????,?????????? ??????
200,"but i know a lot less about manual 28, chapter seven,","???? ?? ???? ????? ?? ??? ???? ?? ????? ??? ??????? ?? ???????? ??","??? ?? ???? ???? ?? ???? ?????? ??? ??? ???? ?? ?????"
201,that son of a bitch came to me.,???????? ???? ?? ????,??? ????? ???? ????
202,you feel less joy.,????? ????? ???? ????,????? ??? ????? ?? ????
203,where all the bad memories are.,???? ?? ???? ?????? ?? ??? ????? ???,??? ?????? ?? ??????
204,"javi, we've got to help.","???? ???? ??? ????","????? ???? ??? ????"
205,what the heck is that?,??? ???? ???? ????,??? ????
206,i'm riley.,?? ????? ????,?? ???? ????
207,"81, that is not helping.","????? ??? ??? ??? ?????? ????????","??? ??? ??? ??? ???"
208,"fear, you have a parachute?","???? ??? ???? ?????","???? ??? ?????"
209,22! - what did you just say?,! ?? - ?? ????? -,???? ?? ?????
210,we'll need to stay weather-aware,…???? ???????? ??? ????,???? ??? ?? ???? ?? ??? ??? ?????
211,okay. 2:00 p.m. that's in... -six minutes.,"…???????? ???? ? ???. ???? - ??? ????? ???? ????? -","????? ???? ???? ?? ??? ?? ????? ???"
212,kate!,! ???,???
213,otherwise go take-,…? ????,?? ??? ??????? ???
214,"oh! - hold on, y'all.",! ??? - ??? ???? -,"???? ??? ??? ??? ???"
215,and i do not like her actions.,???? ?????,? ?? ????? ?? ?? ???? ?????
216,cool.,????,?????
217,"fine, we'll get the suit off the rack somewhere.",???? ?? ????? ?? ?? ? ????? ?? ??????? ?? ????????,"????? ???? ?? ??? ?? ?? ???? ???? ????? ???????"
218,coach roberts isn't gonna be our coach next year.,"???? ??????? ??? ??? ???????? ??????",???? ?????? ??? ??? ???? ?? ?????? ???
219,tell them it's the same stuff they use in diapers. hmm.,????? ??? ???? ?????? ?? ??? ???? ??????? ?????,????? ???? ?? ?? ??? ???? ???? ????? ??????? ?? ????
220,almost didn't recognize him with the haircut.,?? ??? ??? ??? ????? ???? ????????,?? ?? ?? ????? ?? ????? ??? ???
221,come on!,! ??????,????????
222,a rogue emotion has taken over headquarters.,?? ????? ???? ???? ???????? ?? ????? ????,?? ??? ?????? ?? ?? ????? ???? ???
223,the ruling class's core curriculum stifles dissent.,?????? ?????? ?? ???? ????? ????? ????? ?? ????? ?????,?????? ???? ???? ???? ???? ?????? ????? ?? ??? ?? ???
224,stop that. no.,?? ?? ??,"??? ?? ????? ??? ??"
225,"yo, come on, man.","??? ??? ???? ???","??? ??? ???? ???"
226,of course.,?????,?????
227,"all right, hold on.","???? ??? ?????","???? ??? ??? ??"
228,one's gonna die out.,??????? ???? ???? ?????,??? ?? ????? ??????
229,what?,???,???
230,to make all this go away.,?? ??? ???? ?? ??? ???,???? ????? ??? ??? ????? ?? ??? ????
231,and we used to feel lucky if we could get you to wear pants.,? ???? ?????? ????? ??? ????????,? ?? ??? ???? ????? ??? ???????? ??? ?? ???????? ????? ??????
232,forensics is going over it at the impound lot.,??? ??? ????? ??? ??????? ???? ??? ????? ?????,????? ?????? ??? ?? ?? ???? ? ???? ??? ??????
233,"all right, come on, cairo!","! ???????? ??? ?????","???? ??? ??? ??? ????"
234,"we're okay. - yeah, we're good, man.","??????? ???? - ???? ????? ??? -",?????? ???? ??? ?????? ????
235,val is leading us into their holy inner sanctum!,??? ???? ?? ?? ?? ???? ????? ???????? ??????,??? ?? ?? ?? ????? ???? ???? ????? ?? ???
236,"[ chuckles ] well, that'd be cool. right?",??? ??? ????? ????,"???? ??? ???? ?? ??? ??????"
237,riley will never be herself,??? ??? ?? ???? ?? ???? ???????? ??????????,???? ???? ???? ??? ???
238,you'd have to shower in the lake.,????? ???? ??? ???? ??? ?????,?? ???? ?? ?????? ??? ???
239,that some cop has to come and tell her that her kid is dead.,???? ?? ???? ????. ???? ? ???? ?? ???? ????,?? ?? ???? ???? ????? ? ?? ?? ????? ?? ?????? ???? ???
240,you got all his money and you ran away.,??? ?????? ??????? ? ?? ????,?? ??? ???? ?? ????? ? ???? ????
241,yeah. sapulpa. couple hours from here.,"???? ?????? ??? ???? ?? ????? ????? ????","???? ??????? ??? ???? ?? ????? ????? ????"
242,"after graduation, i went back to miami.","??? ?? ????? ???????????? ???? ?????? ?????",?? ?? ???? ???? ??????? ??? ?? ????? ??????
