,en_text,fa_text,bart_translation
243,"what's up? what's goin' on, man?",?? ????? ?? ??? ?????,"????? ???? ?? ????? ?????"
244,"hey, hey, hey, stay outta there.","??? ??? ?? ????? ???? ?? ????","??? ??? ??? ?? ????? ????? ????"
245,"but this time, just sit there, get the cut, and get out.",??? ??????? ??? ???? ? ?????? ????? ?? ? ??? ?????,"??? ??? ???? ??? ???? ?????? ????? ?? ????? ? ????? ???"
246,to what?,?? ???,?? ???
247,do not get on that ship. -uh...,???? ??? ???? ???,???? ???? ?????
248,it's why you're here.,???? ????? ???????,????? ???? ?? ????? ????
249,we even got braces with extra rubber bands!,???? ???????? ?? ????? ? ?? ????? ????? ???????,?? ??? ?????? ???? ?? ???? ??? ????? ?? ?????
250,you know what to do.,?????? ????? ???,?? ?????? ???? ???? ????
251,mmm. mmm-hmm.,???,?? ?? ??
252,your father's out. i need to get out of here too.,???? ??? ??? ???? ???,"???? ????? ?? ?? ???? ?? ????? ????"
253,"as you once believed in me, i will now believe in myself.","? ???????? ?? ?? ?????? ??? ???? ????? ???? ?? ???? ?? ???? ???? ????? ????","???? ??? ?? ????? ?? ?? ????? ??????? ?? ?? ????? ?? ??? ????? ????? ????"
254,"leigh, what is wrong with you?",«??» ?? ????,"??? ????? ????"
255,jovan?,??????,??????
256,i walk outta here or he dies.,?? ?? ????? ???? ?? ??????,?? ?? ????? ????? ???? ?? ?? ??????
257,i seriously doubt that.,????? ?? ???? ?? ????,?? ????? ?? ??? ???? ?? ????
258,we ran into you guys! -huh?,??? ?? ????? - ???? -,?? ?? ??? ????????
259,"but if we don't make the team,",??? ??? ??? ??? ????,"??? ??? ??? ??? ?? ????? ? ?????"
260,i don't know who you think i am.,??????? ??? ?????? ?? ????,??? ???? ??? ?? ???? ?? ?? ????
261,this feels different.,?? ????? ????,??? ????? ??????? ????
262,and everything you've done for me.,? ??? ??????? ?? ???? ?? ????,? ?? ???? ?? ?? ???? ?? ????
263,oh! we use our slap shot!,?? ???? ???,"???? ?? ?? ???? ?????? ??????? ?? ????"
264,we were a couple of foster system rejects.,????? ??? ??? ?? ????? ???????????? ?????,?? ??? ??? ?? ?? ????? ??????????? ?? ?????
265,me can't do it today.,?? ?????????,?? ????? ??????? ??? ???? ????
266,how you doing? - you're the owner?,??????? ?????? - ???? ??????? -,?????? ??????
267,someone bumped him.,??? ???,?? ??? ?? ?? ???? ??
268,huh?,????,???
269,don't let it get me! please!,! ???? ?? ?? ????! ????? ??????,"????? ???? ??? ?????? ????"
270,"and he was going crazy, i didn't.",? ???? ??? ?????,"? ??? ???? ?????? ?? ??? ??? ?? ?????"
271,their destiny is not ours to change.,?? ????? ????? ?????? ???? ??????,?????? ????? ???? ????? ??? ?? ????
272,i can't breathe!,???????? ??? ????,??????? ??? ????
273,my mistake.,?????? ?? ???,?????? ?? ???
274,sully. - yeah?,???? - ???? -,"????? ????"
275,"well, the government calls it 6:30.","??? ???? ???? ???? ?:??","??? ???? ??? ?? ???? ? ? ?? ?? ????"
276,"oh, that michigan girl","???? ??? ???? ?????????","???? ??? ???? ?????"
277,don't worry about it.,????? ?????? ???,?????? ????
278,"no, no, no, you don't understand.","??? ??? ?? ?? ????? ?????","??? ??? ??? ?? ???????"
279,sapulpa.,??????,??????
280,there's a shelter down there! come on!,! ?? ??????? ??? ????? ???! ????????,"?? ??????? ??? ??????? ????????"
281,"what are you doing out here, man?",????? ?? ??? ?????? ????,"?? ????? ????? ????? ?? ???? ????"
282,"tyler, tornado's on the move. - okay.","?????? ?????? ???? ???? ?????? - ??????? -","?????? ??????? ???? ???? ?? ???? ????"
283,appearing in a form your feeble human brain can comprehend.,?? ???? ???? ???? ?? ??? ???? ??? ????? ?? ????? ???? ???,???? ??? ?? ???? ?? ?? ??? ???? ??? ?? ????? ?????
284,"hey, mrs. carter.",???? ???? ?????,"??? ???? ?????"
285,let's get out of here.,??? ????,?????? ?? ????? ????
286,"yeah, well, you've seen the worst of this place.","???? ??? ?????? ?????? ????? ?? ????","???? ???? ??? ?????? ???? ??? ??? ?? ???? ???"
287,"so when i found you,",?? ???? ????? ????,"?? ???? ??? ?? ?????"
288,"look, i'll meet you at the half note.","????? ?? ??? ?? ??? ???????","????? ?? ?? ?? ???? ??? ?????? ?? ???"
289,none of this will actually happen.,???????? ?? ??? ??????? ????????,??? ???? ?? ??? ????? ????? ??? ????
290,enhance 224... 176.,?????? ??????? ?? ??? ? ???,"???? ??? ?? ???? ???"
291,because they've never left ridgefield?,??? ???? ?????? ?? «???????» ????? ??????,??? ???? ??????? ?? ??? ????? ????
292,i can't be truthful with you.,????????? ????? ???? ????,??????? ?? ?? ?? ????
293,"please? yeah. lumpy's brother was supposed to,","????? …???? ????? «?????» ???? ??? ?????","????? ???? ????? ????? ???? ??? ??? ?? ?????"
294,"ooh, yeah! right? 'cause she's... maybe?","???? ???! ???? ??????? …??? ???? ???","???? ???? ?????? ??? ???... ?????"
295,just don't get caught.,??? ??? ????,??? ??? ?????
296,do you have anything to say about that?,???? ???? ???? ??????,???? ???? ?? ?? ??? ???? ????
297,you ever wonder...,…?? ???? ????? ???? ???,?? ???? ??? ?? ??? ??? ???...
298,yes.,???,???
299,"oh, yeah. cool.","????? ????","???? ???? ?????"
300,mm-hmm. yep. y'all missed a big one. look.,"?????? ??? ?? ????? ?? ?? ??? ?????. ????","??? ???? ??? ??? ??? ???? ?? ?? ??? ?????? ???? ????"
301,it was never gonna work.,????? ????? ???? ???,??? ??? ??? ?????? ??? ???
302,what's going on?,???? ????,?? ?????? ???????
303,the model projects it's heading into maryland.,????????? ????? ???? ????? ??? ??????,??? ???? ?? ??? ?? ?? ??????? ?? ???
304,no? then it's the same as the other ones.,??? ?? ?? ???? ???? ?????,??? ?? ??? ???? ???
305,does this gig have a pension? health insurance?,??? ???? ???? ????????? ????? ???? ???????,??? ??? ????????? ????? ???? ???????
306,"but the school would like to help jason process, and--","??? ????? ???? ???? ?? …?? ???? «?????» ??? ???,?","??? ????? ?? ????? ?? ????? ??? ???? ?..."
307,over!,????,???? ???
308,oh.,???,???
309,i'm sorry for all of us.,???? ??? ???? ??????,?? ???? ??? ?? ??????
310,know her name. -ew.,???? ?? ????,???? ?? ???????
311,riley paints her nails to match her jersey.,????? ??? ????? ?? ?? ????? ?? ??????,???? ???? ???? ?? ?? ???? ?? ?? ???? ?? ?????? ???? ???
312,"""not ready yet""?",«???? ????? ?????»,« ???? ???? ????? »
313,hi.,????,????
314,ah! -we gotta say something.,?? - ???? ?? ???? ???? -,"??? ???? ?? ???? ??????"
315,i mean no. i...,"…???? ??? ??","?????? ??? ??..."
316,it's time.,?????,?????
317,"and bringing up the rear,",…? ?? ???,"? ??? ?? ???? ?? ????"
318,"just one moment, please.",??????? ????,"??? ?? ????? ????"
319,behind the tornado and plant his radar,…????? ??? ?????? ? ?????? ??,??? ?????? ? ????? ??? ??
320,i told you we didn't need her.,??? ???? ??? ????? ??????,?? ??? ???? ?? ?? ?? ????? ??????
321,riley is still exceptional.,????? ???? ?? ?????????,???? ???? ???????? ???
322,"yes, you can.","???? ?????","???? ???????"
323,"come on, kate. you got this.",?????? ??? ?? ??? ??????,"????? ???? ????? ???"
324,imbecile.,????,?? ??????
325,to load the updraft.,?? ????? ????? ?? ?? ??? ????,???? ??? ????? ???? ????? ???
326,"we had an agreement, right?",?????? ??????. ?????,"????? ??????? ??????"
327,all right. then let's do it.,. ???? ??. ?? ??? ?????? ?????,"????? ???? ?? ?????? ?????? ????"
328,and the answer is yes.,????? ??????,? ???? ??? ???
329,it's a health and fitness trade show...,?? ???? ?????? ? ?????? ???????,??? ?? ???????? ?????? ? ???? ???...
330,"please, please.",????? ??????,"????? ????"
331,"i mean, what, are you thinking of a career change, or, uh--",?????? ???? ?? ?? ???? ?? ?? ????? ??? ??? ?????? ?? …?,"?????? ???? ??? ??? ???? ?? ?? ????? ???? ?? ??? ?? ???? ??? ??..."
332,we gotta hail a cab. hold your hand out.,?? ???? ????? ?????? ???? ?? ???? ??,"?? ???? ?? ????? ?? ??? ???????? ???? ?? ??? ??"
333,we can't stay here. - there!,????????? ????? ?????? -! ????? -,???????? ????? ??????
334,you did great. we love you.,???? ???? ??? ??????,"???? ???? ???? ?? ????? ?????"
335,"hey, dorothea.",?? ??????,"??? ???????"
336,"i can do it. - stay low! no, no, no, no, no!","?? ??? ?????? -! ????? ????! ??? ??? ??? ??? ?? -","?? ?????? ??? ???? ???? ??? ??? ??? ??? ??? ??"
337,hold on!,???? ????,??? ??
338,"you have to score, riley!",???? ????? ??? ?????,"???? ?????? ?????? ????"
339,"some of it's not as boring as it is at the you seminar,",???? ??? ?? ?????? ?????? ??? ????????? ????,"???? ?? ??? ????? ?? ?????? ?? ?? ?? ?????? ??? ????? ?? ???? ???? ????? ???????"
340,this one's different!,! ??? ??? ??? ?????,??? ??? ?????? ???
341,"look, if, if, if there is a fine",????. ??? ????????,"????? ???? ???? ??? ?? ????? ???? ????? ????"
342,"wait, what? are you serious?",????? ??????,"??? ??? ??? ??? ?????"
343,"well, me and him get arrested one more time,",??? ?? ? ??? ?? ??? ?????? ????,"??? ?? ? ?? ?? ??? ???? ?????? ??????"
344,yeah.,???,???
345,i'm not good enough.,?? ?????????,?? ??? ?? ?????? ???? ?????
346,new lifeguard. yep.,. ????????? ??? ???,"????? ???? ?????? ???"
347,"the girl i know, she'd be going into the storms",??? ????? ?? ?? ???????? …?? ???? ?? ???? ???? ??????,"????? ?? ?? ?????? ?? ??????? ???? ?? ????"
348,fucker!,?????,?????
349,"no, i don't remember.",??. ????,"??? ???? ?????"
350,she wasn't there when it happened. she was probably at the pool.,". ???? ????? ?????,??? ????? ????. ??????? ?? ????? ????","???? ?? ??? ????? ?????? ????? ???? ? ???? ?? ?? ???? ????? ???"
351,to become a fire hawk.,?? ???? ?? ?????? ?? ??? ??,???? ????? ??? ?? ?? ??????? ??? ????
352,"let's go, baby.",???? ?????,"????? ?????"
353,i need to get the fuck out of this town.,???? ???? ??? ?????. ??? ?????,?? ???? ?? ??? ??? ????? ????
354,or walking. i'm really good at walking.,?? ??? ???? ???? ??? ??? ???? ????,"?? ??? ????? ?? ????? ?? ??? ???? ??? ????"
355,how may i direct your call?,?? ?? ??? ??????,????? ?? ????? ???? ??? ?? ????? ????
356,maybe you could just stay in one place.,???? ???? ???? ?? ?? ??? ???,???? ?????? ??? ?? ?? ?? ??????
357,what? who sent that projection to riley?,??? ?? ??? ????? ?? ???? ????? ????? ????,??? ?? ??? ????? ?? ?? ???? ???????
358,where's the other detective?,??????? ???? ??????,????? ???? ??????
359,you got to quit eating chocolate in the damn truck.,"???? ????? ??? ?????? ????? ?????",?? ???? ???? ????? ????? ??? ?????? ????? ?? ?????
360,"because he wouldn't listen,",…??? ??? ?????,"???? ?? ??? ??? ????"
361,never mind.,???????,???? ??? ????
362,i'm sorry.,??????,??????
363,i'll come.,. ??? ????,?? ????
364,in this town of all places?,?????? ??? ????,?? ??? ??? ?? ??? ?????
365,"my team sets up two more, here and here.",???? ???? ????? ???? ????? ? ????? ??? ???????,"??? ?? ?? ?? ???? ???? ?? ????? ?? ???? ????? ? ?????"
366,it's so embarrassing.,. ??? ???? ????? ????,???? ?????? ????? ???
367,you'd never be able to get it close enough.,????? ????? ?????? ?? ?????? ???? ?? ?????? ?????? ???,???? ??? ??????? ?? ?????? ???? ?????? ???
368,"""how to recall non-memory objects""",??? ? ? ????? «?????? ?????,???? ????? ??? ????? ?? ?? ??? ????????
369,"hey, ben, i'm gonna need you to hand me","…?? ??? ????? ?? ??? ????????","??? ??? ?? ?????? ?? ?? ?? ?? ??? ???"
370,"how you been, mr g?",?????? ????? ???? ???,"?????? ?????? ???? ???"
371,ah! this is amazing!,??! ??? ??? ?????????,"??? ??? ???? ????? ???"
372,what are you doing?,?? ??? ???????,??? ???? ?? ?????
373,"so, uh, how do they get to earth, then?",…?? ????? ?? ???? ?????,"??? ??? ???? ?? ???? ?? ?????"
374,now get in.,???? ??? ????,???? ???? ????
375,you're not gonna hurt him?,?? ?? ??? ???? ????????,?? ??????? ??? ??? ????
376,"you got a little newborn, right?",?? ??? ????? ?????,"?? ??? ???? ????? ??? ????? ??????"
377,i'm cured. i'm cured.,?? ??? ??? ?? ??? ???,"???? ????? ???? ????"
378,he's that jovan guy.,??? ???? ???? ????,??? ??? ??? ? ??????
379,"be quiet. - dude, i fucked this up so bad.",???? ??? - ????? ??? ??? ??? -,"???? ??? ????? ?? ??? ???? ???? ????"
380,it's okay.,???? ????,???? ????
381,"two, three, four.","??? ??? ????","??? ??? ????..."
382,"what's that mean? -""forgot.""",???? ??? - «????» ?????? ??? -,??? ?? ?????? ?????
383,she's currently in tokyo with her sister.,???? ??????? ?? ??????,?? ???? ?? ?????? ????? ???
384,"i mean, i did good.",???? ???? ??? ???,?????? ??? ??? ?? ?? ??? ???? ????
385,i can't fucking believe this.,????? ?????,?? ??????? ???? ???
386,clean this shit up.,????? ????,??? ????? ?? ??? ??
387,she'll be fine. she's okay.,????? ????? ???? ????,"???? ??? ?? ???? ???? ??? ???"
388,but heavy enough to anchor barrels in 100-mile-an-hour winds.,"??? ????????? ???? ?? ????? ??? ?? ????? ??????? ?? ??? ??? ?? ???? ??? ??????? ?? ????? ??? ????",??? ?? ?????? ? ???? ????? ??? ?? ???? ?? ?? ?? ??? ??? ? ? ??? ??????? ?? ???? ???????
389,can we not? - maybe just a little.,????? ?? ???? - ?? ??????? ?? ????? ?????? -,??? ??? ??????
390,sorry i stole your car.,?????? ?????? ?? ??????,?????? ?? ???????? ?? ?????
391,she was very happy.,??? ???? ?????? ???,?? ????? ??? ???
392,"well, she just knows everything, doesn't she?","??????? ????? ??? ???","???? ?? ??? ??? ??? ?? ?? ????? ???"
393,i'm an irritable wallflower who's dangerously curious.,?? ?? ?? ??? ?? ?? ???? ?? ????? ???????,?? ?? ????? ?????? ? ?? ??? ??????? ?????? ????
394,i thought you were gonna say the time we peed in the pool.,??? ??????? ??????? ????? ?????????? ??? ????? ?? ????? ???,??? ?? ???? ???? ?? ????? ?? ?? ???? ?? ?? ?? ????
395,you gonna transfer the money so she can live?,??? ?? ?????? ???? ?? ???? ??????,??? ??? ?? ?????? ?? ???? ?? ?? ?????? ???? ??????
396,we need a 40-foot trailer that's light enough for a pickup,?? ????? ?? ???? ???? ????? ????????? ???? ???? ????? ??? ???,?? ?? ?? ????? ? ???? ???? ????? ?? ???? ?? ?????? ???? ?? ?????? ???? ??? ????
397,"better be careful, man. you pass out like that in vermont, you froze in the snow.",???? ????? ???? ????? ???? ?? ??? ???? ???? ?? ????? ??? ?????? ??? ??? ???????,"????? ????? ???? ???? ?? ?? ?????? ??????? ?? ???? ?? ?? ?? ??? ??? ??? ????"
398,i think you need to step in and counsel her.,?????? ?????? ??? ? ????? ???? ???,??? ?? ??? ???? ??? ???? ??? ???? ????? ? ?? ?? ?????? ?????
399,no. are you sure?,??- ??????? -,"??? ???????"
400,"and a best friend's wedding before you're invited,",? ?????? ???? ????? ?? ???? ?? ?????,"? ?????? ?????? ???? ??? ?? ????? ??? ???? ?????"
401,miss kamen?,???? ????,???? ??????
402,i freaked out.,?? ??? ?????? ???,?? ???? ??? ???
403,"and when i finally caught up with her,",…? ???? ??? ?????,"? ???? ??????? ?? ?? ??????"
404,whoa!,???,???
405,"no, i mean, you know,",??. ????,"??? ?????? ??? ???? ?? ??????"
406,now it's your turn.,???? ???? ?? ??,???? ???? ?????
407,the count hasn't been off in centuries.,??? ???? ?? ????? ????? ??????,??? ???? ??? ??? ??? ?? ?? ???? ????? ???
408,am i saying it right?,???? ?????,???? ???? ??????
409,6:30? you serious?,?:?? ????,?? ? ???? ??? ?????
410,what is your position on pizza?,???? ?????? ????? ????,???? ?? ???? ???? ????
411,"let's just, you know, do whatever.","? …??? ???..? ?????? ?? ??? ?????? ???",?????? ?? ???? ?? ?????
412,"like me? as in, alive?","??? ??? ????? ?????","??? ??? ????? ?????"
413,log into your account,???? ????? ??,?? ????? ????
414,hold it right there!,???? ??????,????? ???? ?????
415,"oh, no. what did i do?","??? ??? ??? ?? ???? ??? ?????","???? ??? ?? ???? ?????"
416,i remember really well.,. ?? ???? ??? ???? ????,???? ??? ???
417,"you know, i'm comfortable up here.","??????? ?? ????? ?????","?? ????? ?? ?? ??? ???? ???? ????"
418,"um, i-if somebody had an animal...",…??? ??? ?? ?????? ????,"??? ?? ??? ??? ?????? ????? ????..."
419,"um, just, absolutely, um.",????,"??? ???? ?????? ??"
420,come on!,????,????????
421,tell robert he's out. for now.,?? ????? ???? ??? ???,?? ????? ??? ?? ???? ????
422,"you're in the cat? - wait, wait, that's my body.","?? ??? ???????? - ?????? ?????? ??? ??? ??? -","?? ??? ???? ????? ??? ??? ??? ??? ??? ??? ???"
423,ugh! you're always on me!,??! ???? ?? ????,"???? ?? ????? ??? ?? ????"
424,i'll gather all the necessary provisions...,…?? ??? ????? ???? ???? ?? ??? ??????,?? ??? ? ??????? ???? ?? ??? ?? ???...
425,and i've never seen anything that's made me want to live.,? ?????? ??? ???? ????? ?? ????? ??? ???? ?? ????? ???? ????,? ?? ???? ???? ????? ?? ?? ???? ??? ?????? ???? ?????
426,"every messy, beautiful piece of her.",???? ????????? ????????? ? ????? ??,"?? ??? ?? ?? ??? ?? ??? ?? ?? ??? ??????"
427,it's child abuse is what it is.,??? ???? ???? ?????,??? ?????????? ?? ?????? ???
428,the fire hawks have accepted us.,"??????? ???? ?? ?? ???????",??????? ??? ??? ?? ?? ??????? ???
429,it's recommended for someone in your state.,???? ??? ?? ????? ??? ??????? ????,???? ??? ?? ?? ????? ??? ????? ?? ??? ????? ?? ???
430,i did it. i got the gig. yes!,"???????? ?????? ???! ???","?? ??? ??? ?? ????? ???? ?? ?????? ???"
431,land! yes! -yes!,???? - ???? -,"????? ???? ???"
432,"come on, now. - nope, nope, nope.","?????? - ??? ??? ?? -","??? ??? ??? ??? ???"
433,"one night he showed up on my doorstep,",?? ?? ???? ?? ?? ???????,"?? ?? ??? ?? ???? ?? ?? ?? ??????"
434,"no, no, no, man. she don't play that.","??? ??? ??? ??? ??????? ????? ???? ???","??? ??? ??? ???? ??? ??? ?? ??? ?????"
435,"oh, pouchy!","???? ??? ????","???? ????"
436,i've got the photos of the damage done to your car.,?????? ????? ???? ??? ?? ???????? ????,?? ??? ??? ?????? ?? ?? ????? ??? ???? ??? ?? ?????
437,"run your experiment, see if it works.",??????? ?? ???? ?? ???? ???? ????? ?? ??,"??????? ?? ????? ???? ????? ?????? ???? ?? ??"
438,it's the space between the physical and spiritual.,??? ???? ??? ?????? ? ???????,??? ??? ???? ?????? ? ???? ???
439,go home!,! ???? ???? ?????,?? ???? ???
440,does this mean i'm dead?,??? ???? ?? ?????,??? ???? ?????? ?? ?? ???? ???
441,i bet you're the best,??? ??????? ?? ???,??? ?? ???? ?? ?? ?????? ????
442,i respect you so much.,?? ???? ???? ?????? ?????,???? ?? ??? ?????? ?? ????
443,disrupting tornado dynamics.,????????? ??????? ??????,?? ??? ??????? ??????? ????? ???? ???
444,but someone might need help.,??? ???? ?? ??? ?? ??? ???? ????? ????,??? ???? ??? ?? ??? ??? ???? ????? ????
445,sarah adopted this kid.,???? ??? ??? ?? ?? ???????????? ?????,???? ??? ??? ?? ?? ????? ?????? ???
446,"come on. come on, come on!",????. ????,"???? ???? ???? ???"
447,thought college might be better for my brain.,?? ???? ???? ???? ???? ????? ??????? ???? ???? ????,??? ?? ???? ?? ??????? ???? ???? ???? ???? ????
448,"anyway, i never got my spark.",?? ?? ??? ?? ??? ??? ??????? ?? ???? ?????,"??????? ?? ??? ??? ???? ?? ?? ??????"
449,"and that means we hit the ice early,",? ??? ???? ???? ????? ?? ???? ???? ?????,"? ??? ???? ?????? ?? ????? ?? ?? ??????"
450,hungry?,????? ??????,????? ????
451,everybody act regular. it's valentina ortiz.,. ???? ???? ????? ???? ???????? ???????,"??? ???? ????? ?? ????? ??? ?????????? ????? ???"
452,"look, i know you love playing.","????? ????? ?? ???? ???????","????? ?? ???? ?? ???? ????? ???? ????"
453,"i mean, not that it matters at this point,",?? ?? ???? ??? ????,"?????? ??? ??? ??? ?? ??? ?? ?? ??? ???? ????? ?????"
454,i'm sarah. - rebecca.,?? ????? - ???? -,?? ???? ????
455,riley!,?????,????
456,i'm not good enough at all.,?? ???? ??? ?????,?? ???? ??? ?????
457,i only do what she makes me do.,??? ???? ?????? ?? ?????? ???,?? ??? ???? ?? ????? ?? ??? ?? ?? ??? ????? ?? ??? ????? ???
458,"it's your time to go, joe gardner.",??? ???? ?? ??????,"????? ?? ????? ?? ??????"
459,"joy, i'm doing this for you!","????? ???? ??? ??? ?? ??????? ?? ??????","???? ?? ??? ??? ?? ???? ?? ?? ???"
460,"no, no, no. we've got to drop the barrels in its path.","??? ??? ??. ???? ??????? ?? ??? ???? ?????? ???????","??? ??? ??? ???? ???? ?? ?? ?? ????? ??? ????"
461,and orange?,??? ????? ?????? ????,? ???????
462,but what... what filled in the last box?,…??? ?? ?? ??? ??? ?? ?? ????,??? ??... ?? ????? ???? ?? ?? ?? ????
463,"thanks, coach roberts.","?????? ???? ??????","??????? ???? ??????"
464,could you help us get out of here?,????? ??????? ??? ?? ????? ???? ?????,?? ???? ?? ?? ??? ??? ?? ?? ????? ?????
465,"all right, let's not get distracted.","???????? ???????? ??? ???","????? ???? ?????? ??????? ?? ??? ?????"
466,"kate. here, take some food.","??? ???? ?? ???? ??? ???","???? ?????? ?????? ??? ????"
467,i've been waiting my whole life for this very moment.,?? ?????? ?? ????? ??? ???? ????,?? ???? ???? ?? ???? ???? ???? ??? ???? ??
468,likely scenarios.,????????? ??????? ?????,????????? ?????
469,he fucking shot me!,??? ???? ???,??? ??? ???? ???
470,"the one, the only...",…????? ??????,"??? ??? ??? ??..."
471,tomorrow is everything.,???? ??? ???? ?????,???? ??? ??? ???
472,when your expectations are so high.,??????? ???????? ???? ????,???? ?? ???????? ??? ???? ????
473,"yes, ma'am.",???,"???? ????"
474,no.,??,??
475,mm-hmm.,?????,?? ??
476,no. no. no.,"??? ??? ??","??? ??? ??"
477,okay. - thank you.,??????? - ????? -,"????? ???? ??????"
478,love you. - love you.,????? ???? - ??? ????? ???? -,????? ????
479,"no. i've gotta find it here, on earth.",?? ?? ???? ????? ????? ??? ??? ????,"??? ???? ??? ?? ????? ???? ???? ??? ????"
480,"how you doin'? hi, rick. how are ya?",?????? ??????? «????» ??? ??????,"???? ?????? ???? ???? ???? ??????"
481,uh-oh!,??? ???,??? ???
482,"anxiety has got you all chained to desks,","??????? ??? ?? ?? ??? ????? ?? ? ????? ????","?????? ??? ??? ?? ?? ????? ????? ?????"
483,"once you get a lawyer,",???? ???? ?????,"???? ?? ????? ???? ?????"
484,"oh, yeah. or that.","???? ??? ?? ?????","???? ???? ?? ???"
485,let's hold off on any alerts.,????? ???? ??? ?????? ???? ?????,?????? ?? ?????? ?? ??? ?????
486,smash as many as you can! -joy!,?? ???? ?? ???????? ?????????? - ???? -,?? ???? ?? ?? ????? ???? ????
487,"okay, we should, um...","…???????? ????","????? ???? ????? ??..."
488,she going the wrong way?,???? ?????? ??????,??? ??? ??????? ?? ?????
489,we're very happy.,?? ???? ????????,?? ????? ????????
490,it'll happen.,??????,????? ?? ????
491,it's a ridiculous story.,?????? ?????????,??? ?? ?????? ????? ???
492,"so this is an ef1, perfect conditions.",?? ??? ?? ?????? ??????? ???? ?? ????? ???????,?? ??? ????? ????? ????? ???
493,she's not-- she's not staying at little jason's.,…???. ??? ?? «????? ??????» ?????????,??? ???? ??? ??????? ?? ??? ????? ?????? ?????
494,"i hope i see you, man. all right. peace.","???????? ?????? ??? ???? ??? ?? ???? ?????","???????? ????? ???? ???? ??? ????"
